code,citycor,long_code,zoninggroup,pending,pendingbill,pendingbillurl,sunset_date,sunsetbillnum,sunsetbilllink,objectid,globalid,Shape__Area,Shape__Length
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,1,,3371.0625,257.688145937951
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,2,,159.53125,63.896038036541
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,3,,1721.38671875,182.886473989401
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,4,,137.41015625,55.5794856692467
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,5,,524.59375,92.0588039638652
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,6,,49493.11328125,979.886471586547
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,7,,183.875,70.4573661087294
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,8,,3382.12109375,351.045384044971
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,9,,105.72265625,44.9626205963619
CMX2.5,0,CMX-2.5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,10,,1313.26171875,149.036026774408
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,11,,1531.50390625,169.938366356009
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,12,,1241.71484375,151.972915323088
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,13,,380.03125,126.266576684746
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,14,,657.79296875,113.534040001583
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,15,,238.37890625,86.404705333408
SPINS,0,SP-INS,Special Purpose,No,N/A,N/A,,N/A,N/A,16,,17060.32421875,569.044319911655
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,17,,6802.203125,379.200268732245
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,18,,193.953125,68.5422627237973
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,19,,497.03515625,105.048440748232
RSA4,0,RSA-4,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,20,,38115.609375,1007.69945897757
ICMX,0,ICMX,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,21,,25700.3984375,869.447395046885
I1,0,I-1,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,22,,963.609375,125.078996303637
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,23,,4716.69921875,328.073086339835
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,24,,3043.1953125,247.712408196409
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,25,,157.79296875,62.7740453338416
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,26,,16197.5390625,547.857906634164
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,27,,220.3671875,73.7381455690274
RSA2,0,RSA-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28,,18675.99609375,583.178060442875
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,29,,181.7109375,64.2660954215163
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,30,,273.3984375,86.4969417839132
